Label,Type,ID
PathoPhenoDB,Ontology,PathoPhenoDB
ICPC2EENG,Ontology,ICPC2EENG
SRC,Ontology,SRC
REACTOME,Ontology,REACTOME
PR,Ontology,PR
HPO,Ontology,HPO
FALDO,Ontology,FALDO
DISEASES,Ontology,DISEASES
ChEMBL,Ontology,ChEMBL
Incomplete Interactome,Ontology,Incomplete Interactome
ICD10PCS,Ontology,ICD10PCS
RCD,Ontology,RCD
Ascomycete phenotype ontology (APO),Ontology,Ascomycete phenotype ontology (APO)
GWAS Catalog,Ontology,GWAS Catalog
DRON,Ontology,DRON
ICPC,Ontology,ICPC
RXNORM,Ontology,RXNORM
PATO,Ontology,PATO
FOODON,Ontology,FOODON
SPARC KG,KG,SPARC KG
Reactome,Ontology,Reactome
MSIGDB,Ontology,MSIGDB
MEDCIN,Ontology,MEDCIN
BindingDB,Ontology,BindingDB
MEDI,Ontology,MEDI
SNOMEDCT_VET,Ontology,SNOMEDCT_VET
MetaCyc,Ontology,MetaCyc
MTHICPC2EAE,Ontology,MTHICPC2EAE
SO,Ontology,SO
HCDT,Ontology,HCDT
Bgee,Ontology,Bgee
RATHCOP,Ontology,RATHCOP
Measurement Method Ontology (MMO),Ontology,Measurement Method Ontology (MMO)
DSM-5,Ontology,DSM-5
C. elegans Gross Anatomy Ontology (WBbt),Ontology,C. elegans Gross Anatomy Ontology (WBbt)
DCT,Ontology,DCT
ATC,Ontology,ATC
RAM,Ontology,RAM
RCDSA,Ontology,RCDSA
Plant Phenology Ontology (PPO),Ontology,Plant Phenology Ontology (PPO)
Mouse Developmental Stages (MmusDV),Ontology,Mouse Developmental Stages (MmusDV)
AGRO,Ontology,AGRO
DIDEO,Ontology,DIDEO
SPN,Ontology,SPN
DGN,Ontology,DGN
STATO,Ontology,STATO
JABL,Ontology,JABL
PSY,Ontology,PSY
GTEXCOEXP,Ontology,GTEXCOEXP
ALT,Ontology,ALT
Information Artifact Ontology (IAO),Ontology,Information Artifact Ontology (IAO)
GS,Ontology,GS
DisGeNET,Ontology,DisGeNET
Evolutionary Rate Covariation,Ontology,Evolutionary Rate Covariation
STRING,Ontology,STRING
QMR,Ontology,QMR
Plant Experimental Conditions Ontology (PECO),Ontology,Plant Experimental Conditions Ontology (PECO)
Population and Community Ontology (PCO),Ontology,Population and Community Ontology (PCO)
ICD10CM,Ontology,ICD10CM
EDAM,Ontology,EDAM
AOD,Ontology,AOD
CDT,Ontology,CDT
PREDICT,Ontology,PREDICT
Human Phenotype Ontology (HPO),Ontology,Human Phenotype Ontology (HPO)
Molecular Interactions Controlled Vocabulary (MI),Ontology,Molecular Interactions Controlled Vocabulary (MI)
HCOP,Ontology,HCOP
CCC,Ontology,CCC
FOBI,Ontology,FOBI
GENCODE,Ontology,GENCODE
Plant Ontology (PO),Ontology,Plant Ontology (PO)
HL7V3.0,Ontology,HL7V3.0
GLYGEN,Ontology,GLYGEN
AFP,Ontology,AFP
Fission Yeast Phenotype Ontology (FYPO),Ontology,Fission Yeast Phenotype Ontology (FYPO)
SNMI,Ontology,SNMI
TISSUES,Ontology,TISSUES
Zebrafish anatomy and development ontology (ZFA),Ontology,Zebrafish anatomy and development ontology (ZFA)
CLINVAR,Ontology,CLINVAR
ICD10,Ontology,ICD10
CIViC (Clinical Interpretations of Variants in Cancer),Ontology,CIViC (Clinical Interpretations of Variants in Cancer)
GTEXEQTL,Ontology,GTEXEQTL
HPOMP,Ontology,HPOMP
Food Ontology (FoodOn),Ontology,Food Ontology (FoodOn)
BFO,Ontology,BFO
ICD9CM,Ontology,ICD9CM
CL,Ontology,CL
HL7V2.5,Ontology,HL7V2.5
ERCCRBP,Ontology,ERCCRBP
CVX,Ontology,CVX
MEDLINEPLUS,Ontology,MEDLINEPLUS
MPMGI,Ontology,MPMGI
ORKG,KG,ORKG
HSCLO,Ontology,HSCLO
DrugBank,Ontology,DrugBank
ICD10AE,Ontology,ICD10AE
MTHICPC2ICD10AE,Ontology,MTHICPC2ICD10AE
USPMG,Ontology,USPMG
Disease Ontology,Ontology,Disease Ontology
WIKIDATA,Ontology,WIKIDATA
NCBI,Ontology,NCBI
ORPHANET,Ontology,ORPHANET
GO,Ontology,GO
SBO,Ontology,SBO
UO,Ontology,UO
GENCODEHSCLO38,Ontology,GENCODEHSCLO38
KF,Ontology,KF
CST,Ontology,CST
OMIM,Ontology,OMIM
UMD,Ontology,UMD
EMAPA,Ontology,EMAPA
WP,Ontology,WP
SIDER,Ontology,SIDER
OEO,Ontology,OEO
AOT,Ontology,AOT
CDCREC,Ontology,CDCREC
ICPC2P,Ontology,ICPC2P
